Datum,Temperatura vode [Â°C],Smer morskega toka 2m pod gladino [Â°],Hitrost morskega toka 2m pod glad. [cm/s],Smer morskega toka 10m pod gladino [Â°],Hitrost morskega toka 10m pod glad. [cm/s],ZnaÄilna viÅ¡ina valov [m],Maksimalna viÅ¡ina valov [m],Smer valovanja [Â°],Perioda valovanja [s]
12.08.2023 17:00,25.6,210,9,41,7,0.16,0.00,243,3
12.08.2023 16:00,25.7,187,6,21,5,0.16,0.00,229,2
12.08.2023 15:00,25.5,169,13,91,7,0.16,0.00,215,3
12.08.2023 14:00,25.5,233,13,110,7,0.16,0.00,236,3
12.08.2023 13:00,25.5,243,12,165,2,0.12,0.00,165,3
12.08.2023 12:00,25.3,224,14,291,8,0.12,0.00,288,3
12.08.2023 11:00,25.3,274,7,294,7,0.12,0.00,254,3
12.08.2023 10:00,25.1,314,5,277,5,0.20,0.00,225,4
12.08.2023 09:00,24.7,319,7,292,7,0.08,0.00,169,3
12.08.2023 08:00,24.5,356,9,255,5,0.08,0.00,231,3
12.08.2023 07:00,24.1,356,15,354,6,0.04,0.00,205,3
12.08.2023 06:00,24.3,34,9,190,5,0.08,0.00,174,3
12.08.2023 05:00,24.4,347,14,136,9,0.08,0.00,224,3
12.08.2023 04:00,24.5,325,16,143,8,0.08,0.00,87,3
12.08.2023 03:00,24.5,308,20,129,4,0.08,0.00,326,3
12.08.2023 02:00,24.7,284,18,142,9,0.08,0.00,255,3
12.08.2023 01:00,24.5,270,18,179,11,0.12,0.00,187,3
12.08.2023 00:00,24.5,235,20,198,5,0.12,0.00,255,3
11.08.2023 23:00,24.8,252,25,183,5,0.12,0.00,264,2
11.08.2023 22:00,25.1,226,20,149,6,0.16,0.00,259,2
11.08.2023 21:00,25.2,240,19,55,5,0.16,0.00,254,2
11.08.2023 20:00,25.5,239,14,1,7,0.20,0.00,255,3
11.08.2023 19:00,25.5,212,15,305,2,0.20,0.00,247,3
11.08.2023 18:00,25.5,170,15,0,2,0.20,0.00,245,2
11.08.2023 17:00,25.2,191,11,7,6,0.16,0.00,257,2
11.08.2023 16:00,25.1,183,7,283,4,0.16,0.00,278,3
11.08.2023 15:00,25.2,184,6,253,4,0.12,0.00,275,3
11.08.2023 14:00,25.1,318,4,257,4,0.08,0.00,238,3
11.08.2023 13:00,24.5,277,2,224,5,0.12,0.00,237,3
11.08.2023 12:00,24.7,288,7,232,4,0.16,0.00,103,3
11.08.2023 11:00,24.4,302,8,224,7,0.12,0.00,64,2
11.08.2023 10:00,24.6,301,11,221,5,0.20,0.00,64,2
11.08.2023 09:00,24.4,329,12,219,4,0.16,0.00,51,2
11.08.2023 08:00,24.0,0,7,226,5,0.20,0.00,82,2
11.08.2023 07:00,23.9,315,7,202,4,0.12,0.00,44,2
11.08.2023 06:00,23.8,284,11,153,0,0.12,0.00,42,2
11.08.2023 05:00,23.8,328,11,122,1,0.12,0.00,64,2
11.08.2023 04:00,23.4,283,7,83,5,0.08,0.00,22,3
11.08.2023 03:00,22.4,267,15,260,2,0.08,0.00,12,3
11.08.2023 02:00,22.3,243,21,283,1,0.08,0.00,241,3
11.08.2023 01:00,22.2,239,18,222,5,0.08,0.00,187,3
11.08.2023 00:00,23.9,222,30,229,8,0.08,0.00,185,3
10.08.2023 23:00,24.8,204,27,255,12,0.12,0.00,89,3
10.08.2023 22:00,24.8,183,20,229,11,0.16,0.00,101,3
10.08.2023 21:00,24.9,180,16,217,11,0.16,0.00,261,3
10.08.2023 20:00,25.1,141,14,225,9,0.20,0.00,243,2
10.08.2023 19:00,25.2,135,19,224,7,0.20,0.00,237,2
10.08.2023 18:00,25.3,152,14,165,5,0.16,0.00,146,3
10.08.2023 17:00,25.5,146,9,139,8,0.12,0.00,237,3
10.08.2023 16:00,25.5,112,7,159,9,0.08,0.00,244,3
10.08.2023 15:00,25.2,118,7,122,11,0.12,0.00,55,2
10.08.2023 14:00,25.0,169,2,131,14,0.23,0.00,59,3
10.08.2023 13:00,24.9,110,8,122,16,0.31,0.39,58,3
10.08.2023 12:00,24.8,45,0,139,22,0.51,0.70,57,3
10.08.2023 11:00,24.8,105,8,136,18,0.55,0.74,57,3
10.08.2023 10:00,24.8,349,8,143,15,0.47,0.66,54,3
10.08.2023 09:00,24.8,1,5,138,18,0.39,0.59,53,3
10.08.2023 08:00,24.7,336,7,135,18,0.35,0.39,63,3
10.08.2023 07:00,24.5,308,12,114,19,0.35,0.39,54,3
10.08.2023 06:00,24.5,318,16,118,21,0.31,0.35,59,3
10.08.2023 05:00,24.5,292,20,120,19,0.27,0.00,70,2
10.08.2023 04:00,24.5,292,19,107,18,0.27,0.27,68,2
10.08.2023 03:00,24.1,294,7,124,18,0.12,0.00,49,2
10.08.2023 02:00,23.5,215,1,124,15,0.08,0.00,240,3
10.08.2023 01:00,23.6,208,4,127,20,0.08,0.00,192,3
10.08.2023 00:00,23.2,149,7,118,19,0.12,0.00,220,3
09.08.2023 23:00,23.1,145,9,146,15,0.12,0.00,210,3
09.08.2023 22:00,24.1,87,8,132,15,0.12,0.00,218,3
09.08.2023 21:00,22.3,97,7,124,13,0.12,0.00,203,4
09.08.2023 20:00,22.5,122,2,125,16,0.12,0.00,204,3
09.08.2023 19:00,23.2,34,2,138,16,0.12,0.00,218,3
09.08.2023 18:00,23.6,328,2,122,15,0.12,0.00,214,3
09.08.2023 17:00,24.5,28,8,112,14,0.12,0.00,213,3
09.08.2023 16:00,25.2,48,8,114,16,0.12,0.00,206,3
09.08.2023 15:00,25.4,84,7,104,15,0.16,0.00,182,3
09.08.2023 14:00,24.9,56,7,105,14,0.20,0.00,188,3
09.08.2023 13:00,24.8,60,14,124,16,0.16,0.00,205,3
09.08.2023 12:00,24.4,56,16,129,13,0.20,0.00,198,4
09.08.2023 11:00,24.2,38,16,110,20,0.23,0.00,207,4
09.08.2023 10:00,24.1,6,14,114,18,0.23,0.00,193,4
09.08.2023 09:00,23.9,7,14,124,16,0.27,0.35,202,3
09.08.2023 08:00,23.5,353,11,121,13,0.27,0.39,186,3
09.08.2023 07:00,23.2,342,6,117,14,0.23,0.00,201,3
09.08.2023 06:00,22.6,336,7,103,13,0.23,0.00,198,3
09.08.2023 05:00,21.8,38,13,112,14,0.23,0.00,177,3
09.08.2023 04:00,19.3,347,11,93,12,0.27,0.39,196,3
09.08.2023 03:00,24.5,304,4,114,9,0.27,0.00,196,3
09.08.2023 02:00,24.6,0,0,112,9,0.23,0.00,204,3
09.08.2023 01:00,24.7,58,6,128,8,0.23,0.35,188,3
09.08.2023 00:00,24.7,111,6,127,8,0.23,0.31,216,3
08.08.2023 23:00,24.7,110,6,148,11,0.23,0.00,210,3
08.08.2023 22:00,24.7,75,4,181,9,0.23,0.00,202,3
08.08.2023 21:00,24.8,97,11,163,7,0.23,0.00,208,3
08.08.2023 20:00,24.8,139,2,172,9,0.27,0.27,202,3
08.08.2023 19:00,24.8,59,6,150,16,0.35,0.47,213,3
08.08.2023 18:00,24.9,101,5,104,12,0.35,0.35,202,3
08.08.2023 17:00,25.4,233,6,104,8,0.12,0.00,195,3
08.08.2023 16:00,25.5,201,8,128,11,0.12,0.00,205,3
08.08.2023 15:00,25.3,172,12,127,9,0.16,0.00,142,3
08.08.2023 14:00,25.0,186,7,100,12,0.12,0.00,221,3
08.08.2023 13:00,25.0,183,9,58,8,0.12,0.00,235,3
08.08.2023 12:00,24.7,218,8,41,12,0.08,0.00,182,3
08.08.2023 11:00,24.5,84,5,69,9,0.16,0.00,87,3
08.08.2023 10:00,24.5,91,9,89,5,0.16,0.00,56,2
08.08.2023 09:00,24.5,66,7,124,7,0.23,0.00,58,3
08.08.2023 08:00,24.5,359,9,112,7,0.16,0.00,33,3
08.08.2023 07:00,24.5,349,11,98,6,0.16,0.00,65,3
08.08.2023 06:00,24.5,357,11,108,13,0.16,0.00,56,2
08.08.2023 05:00,24.5,314,13,114,6,0.20,0.00,54,2
08.08.2023 04:00,24.5,309,16,121,9,0.20,0.00,60,3
08.08.2023 03:00,24.5,305,14,149,6,0.20,0.00,56,2
08.08.2023 02:00,24.5,290,13,139,2,0.31,0.27,77,2
08.08.2023 01:00,24.3,302,18,169,4,0.31,0.31,63,2
08.08.2023 00:00,24.1,267,15,250,1,0.35,0.31,39,3
07.08.2023 23:00,23.3,262,14,193,11,0.20,0.00,28,2
07.08.2023 22:00,21.4,94,4,163,6,0.12,0.00,181,3
07.08.2023 21:00,22.8,221,13,207,12,0.20,0.00,61,3
07.08.2023 20:00,24.6,215,13,218,16,0.35,0.39,44,3
07.08.2023 19:00,25.2,278,6,215,15,0.20,0.00,12,3
07.08.2023 18:00,25.4,252,7,204,23,0.16,0.00,265,3
07.08.2023 17:00,25.4,207,9,221,12,0.12,0.00,255,3
07.08.2023 16:00,25.3,274,6,232,16,0.16,0.00,248,3
07.08.2023 15:00,25.2,262,6,218,11,0.16,0.00,247,3
07.08.2023 14:00,25.0,97,1,163,11,0.12,0.00,258,3
07.08.2023 13:00,24.8,290,7,155,7,0.12,0.00,224,3
07.08.2023 12:00,24.5,276,5,184,6,0.12,0.00,194,3
07.08.2023 11:00,24.1,283,5,158,8,0.12,0.00,175,3
07.08.2023 10:00,23.8,257,8,149,12,0.12,0.00,227,3
07.08.2023 09:00,23.5,226,7,145,11,0.12,0.00,217,4
07.08.2023 08:00,23.1,215,9,127,8,0.12,0.00,146,3
07.08.2023 07:00,23.3,208,11,153,7,0.12,0.00,208,3
07.08.2023 06:00,22.6,201,12,191,11,0.12,0.00,82,2
07.08.2023 05:00,24.8,176,12,176,13,0.16,0.00,84,2
07.08.2023 04:00,24.8,215,9,181,15,0.27,0.27,86,2
07.08.2023 03:00,24.8,231,6,167,12,0.20,0.00,32,2
07.08.2023 02:00,24.8,287,2,166,12,0.35,0.35,12,3
07.08.2023 01:00,24.8,304,1,142,6,0.35,0.31,15,3
07.08.2023 00:00,24.8,287,5,180,9,0.31,0.27,30,2
06.08.2023 23:00,24.8,300,9,129,4,0.39,0.43,94,3
06.08.2023 22:00,24.8,290,18,132,14,0.43,0.47,96,3
06.08.2023 21:00,24.8,304,16,124,7,0.51,1.02,90,3
06.08.2023 20:00,24.8,255,26,190,16,0.74,0.82,53,3
06.08.2023 19:00,24.8,221,28,217,22,0.70,0.94,18,3
06.08.2023 18:00,24.7,307,13,193,16,0.35,0.35,158,3
06.08.2023 17:00,24.7,287,18,212,12,0.27,0.31,206,3
06.08.2023 16:00,24.8,270,11,184,6,0.20,0.00,225,3
06.08.2023 15:00,24.7,269,11,173,4,0.20,0.00,233,3
06.08.2023 14:00,24.5,263,13,202,4,0.16,0.00,241,3
06.08.2023 13:00,24.3,284,13,128,1,0.12,0.00,212,3
06.08.2023 12:00,23.9,259,11,28,9,0.16,0.00,236,3
06.08.2023 11:00,23.9,277,7,44,16,0.12,0.00,230,3
06.08.2023 10:00,23.4,217,5,32,12,0.16,0.00,160,3
06.08.2023 09:00,21.2,183,7,20,7,0.08,0.00,189,4
06.08.2023 08:00,20.2,215,9,120,1,0.04,0.00,217,3
06.08.2023 07:00,20.5,235,5,194,4,0.08,0.00,202,3
06.08.2023 06:00,20.9,322,2,224,7,0.04,0.00,195,3
06.08.2023 05:00,20.2,283,4,207,7,0.08,0.00,214,3
06.08.2023 04:00,20.5,281,5,200,7,0.08,0.00,226,3
06.08.2023 03:00,21.4,287,16,215,11,0.08,0.00,232,3
06.08.2023 02:00,22.9,267,15,202,8,0.12,0.00,255,3
06.08.2023 01:00,23.1,262,14,202,5,0.12,0.00,243,3
06.08.2023 00:00,23.4,262,19,188,7,0.08,0.00,254,3
05.08.2023 23:00,23.3,281,19,194,5,0.12,0.00,343,3
05.08.2023 22:00,23.2,273,25,200,2,0.12,0.00,262,3
05.08.2023 21:00,23.5,262,23,195,5,0.20,0.00,269,3
05.08.2023 20:00,23.6,256,30,233,11,0.16,0.00,308,3
05.08.2023 19:00,23.9,243,34,252,12,0.23,0.00,311,2
05.08.2023 18:00,23.8,242,30,249,15,0.23,0.00,314,2
05.08.2023 17:00,23.6,253,38,240,21,0.20,0.00,301,2
05.08.2023 16:00,23.7,250,43,187,7,0.20,0.00,316,3
05.08.2023 15:00,23.9,245,47,208,9,0.16,0.00,252,3
05.08.2023 14:00,23.7,245,30,148,6,0.16,0.00,274,3
05.08.2023 13:00,23.2,235,25,195,4,0.20,0.00,251,3
05.08.2023 12:00,23.2,229,25,202,5,0.31,0.35,308,3
05.08.2023 11:00,23.4,215,33,243,11,0.31,0.00,325,2
05.08.2023 10:00,24.9,219,19,204,9,0.20,0.00,217,3
05.08.2023 09:00,25.0,239,14,211,7,0.23,0.00,41,3
05.08.2023 08:00,25.1,170,6,245,5,0.31,0.35,57,3
05.08.2023 07:00,25.0,207,8,243,6,0.39,0.51,58,3
05.08.2023 06:00,25.1,236,16,239,18,0.55,0.70,61,3
05.08.2023 05:00,25.1,229,22,239,25,0.66,0.94,53,3
05.08.2023 04:00,25.1,248,25,239,32,0.82,1.09,54,3
05.08.2023 03:00,25.2,239,19,235,15,0.86,1.02,61,3
05.08.2023 02:00,25.3,238,21,226,22,1.13,1.60,58,4
05.08.2023 01:00,25.3,239,26,240,22,1.02,1.41,65,3
05.08.2023 00:00,25.2,257,23,243,22,0.70,0.74,65,3
04.08.2023 23:00,25.2,311,8,183,13,0.43,0.62,79,3
04.08.2023 22:00,25.2,332,9,87,7,0.55,0.74,65,3
04.08.2023 21:00,25.3,305,12,228,7,0.70,0.90,67,3
04.08.2023 20:00,25.3,316,18,90,1,0.94,1.60,65,4
04.08.2023 19:00,25.3,276,26,256,18,0.82,0.94,67,3
04.08.2023 18:00,25.4,277,18,224,27,0.47,0.66,108,3
04.08.2023 17:00,25.4,349,6,226,19,0.43,0.51,147,3
04.08.2023 16:00,25.4,278,14,200,21,0.59,0.74,112,3
04.08.2023 15:00,25.4,300,21,194,14,0.51,0.70,84,3
04.08.2023 14:00,25.5,266,26,217,16,0.66,1.05,88,3
04.08.2023 13:00,25.5,269,19,226,12,0.59,0.74,152,3
04.08.2023 12:00,25.5,153,2,142,8,0.59,0.74,228,4
04.08.2023 11:00,25.5,150,2,129,13,0.66,0.82,230,3
04.08.2023 10:00,25.5,56,5,86,12,0.47,0.59,221,3
04.08.2023 09:00,25.5,225,1,70,5,0.35,0.39,198,3
04.08.2023 08:00,25.5,191,9,44,11,0.39,0.47,207,3
04.08.2023 07:00,25.5,202,6,309,5,0.43,0.51,210,3
04.08.2023 06:00,25.5,201,11,242,9,0.47,0.55,198,3
04.08.2023 05:00,25.6,152,12,243,11,0.51,0.70,201,3
04.08.2023 04:00,25.9,136,8,177,7,0.59,0.82,202,4
04.08.2023 03:00,26.0,150,12,184,7,0.66,0.78,197,3
04.08.2023 02:00,26.1,155,9,165,11,0.62,0.74,184,3
04.08.2023 01:00,26.1,160,5,73,5,0.66,0.70,177,3
04.08.2023 00:00,26.2,328,2,121,4,0.62,0.70,170,3
03.08.2023 23:00,26.1,350,7,20,4,0.59,0.78,193,3
03.08.2023 22:00,26.1,311,11,65,9,0.62,0.74,200,3
03.08.2023 21:00,26.2,333,8,48,8,0.78,1.21,205,4
03.08.2023 20:00,26.2,346,2,75,11,0.74,1.02,203,4
03.08.2023 19:00,26.2,91,4,80,11,0.55,0.62,195,3
03.08.2023 18:00,26.2,110,6,93,8,0.51,0.70,205,3
03.08.2023 17:00,26.2,101,6,141,6,0.55,0.82,205,3
03.08.2023 16:00,26.2,110,7,183,8,0.55,0.66,202,3
03.08.2023 15:00,26.2,70,12,163,9,0.43,0.55,202,3
03.08.2023 14:00,26.2,72,8,149,6,0.43,0.55,206,3
03.08.2023 13:00,26.2,15,12,53,6,0.43,0.59,202,3
03.08.2023 12:00,26.2,37,13,72,9,0.47,0.62,206,3
03.08.2023 11:00,26.2,49,8,82,14,0.51,0.59,205,3
03.08.2023 10:00,25.9,14,14,59,15,0.51,0.51,201,3
03.08.2023 09:00,25.8,359,15,58,16,0.47,0.51,199,3
03.08.2023 08:00,25.7,27,11,69,18,0.39,0.35,196,3
03.08.2023 07:00,25.7,14,8,91,12,0.31,0.31,193,3
03.08.2023 06:00,25.7,45,7,111,11,0.31,0.31,193,3
03.08.2023 05:00,25.9,253,15,148,6,0.16,0.00,229,3
03.08.2023 04:00,26.0,232,14,200,9,0.12,0.00,208,3
03.08.2023 03:00,26.1,243,13,219,6,0.12,0.00,213,3
03.08.2023 02:00,25.6,298,13,204,9,0.12,0.00,214,3
03.08.2023 01:00,26.0,300,6,200,6,0.12,0.00,203,3
03.08.2023 00:00,25.9,332,12,229,8,0.12,0.00,234,3
02.08.2023 23:00,25.9,336,11,68,5,0.08,0.00,221,3
02.08.2023 22:00,26.1,359,16,7,5,0.12,0.00,205,3
02.08.2023 21:00,26.2,319,19,48,6,0.16,0.00,198,3
02.08.2023 20:00,26.6,314,16,60,5,0.16,0.00,261,3
02.08.2023 19:00,26.7,295,15,131,5,0.12,0.00,252,3
02.08.2023 18:00,26.9,280,25,76,8,0.12,0.00,219,3
02.08.2023 17:00,26.6,262,20,20,2,0.12,0.00,257,3
02.08.2023 16:00,26.2,246,27,285,2,0.12,0.00,217,3
02.08.2023 15:00,26.4,238,26,68,1,0.12,0.00,207,3
02.08.2023 14:00,26.6,235,29,329,4,0.12,0.00,207,3
02.08.2023 13:00,26.1,235,22,197,4,0.16,0.00,234,3
02.08.2023 12:00,26.1,294,8,58,2,0.20,0.00,113,3
02.08.2023 11:00,25.9,4,4,62,12,0.23,0.00,75,3
02.08.2023 10:00,25.8,24,11,55,12,0.39,0.51,91,3
02.08.2023 09:00,25.7,27,13,68,14,0.35,0.47,73,3
02.08.2023 08:00,25.7,31,13,86,20,0.47,0.66,66,3
02.08.2023 07:00,25.6,15,19,73,20,0.51,0.66,53,3
02.08.2023 06:00,25.6,338,20,104,18,0.51,0.62,75,3
02.08.2023 05:00,25.6,312,27,63,14,0.59,0.82,72,3
02.08.2023 04:00,25.6,305,30,342,9,0.66,0.86,56,3
02.08.2023 03:00,25.7,280,38,285,16,0.74,0.82,53,3
02.08.2023 02:00,25.8,263,32,252,25,0.74,0.78,63,3
02.08.2023 01:00,25.9,256,22,256,22,0.70,0.78,63,3
02.08.2023 00:00,26.0,253,19,217,7,0.78,0.90,84,3
01.08.2023 23:00,26.1,212,15,149,9,0.59,0.55,55,3
01.08.2023 22:00,26.1,198,21,128,5,0.62,0.70,8,3
01.08.2023 21:00,26.2,159,7,56,9,0.31,0.35,204,3
01.08.2023 20:00,26.3,73,14,76,13,0.39,0.43,198,3
01.08.2023 19:00,26.2,62,16,51,6,0.47,0.59,200,3
01.08.2023 18:00,26.3,44,15,170,1,0.55,0.59,202,3
01.08.2023 17:00,26.2,14,14,149,8,0.62,0.78,202,3
01.08.2023 16:00,26.4,335,18,141,7,0.66,0.86,203,3
01.08.2023 15:00,26.6,305,12,125,6,0.66,1.02,210,3
01.08.2023 14:00,26.7,316,9,129,1,0.43,0.51,212,3
01.08.2023 13:00,26.3,281,1,79,5,0.12,0.00,203,3
01.08.2023 12:00,26.3,42,2,80,4,0.08,0.00,231,3
01.08.2023 11:00,26.1,25,4,70,12,0.08,0.00,207,3
01.08.2023 10:00,26.1,252,1,46,8,0.08,0.00,84,3
01.08.2023 09:00,26.0,110,4,38,14,0.08,0.00,206,3
01.08.2023 08:00,25.9,58,7,32,15,0.08,0.00,225,3
01.08.2023 07:00,26.0,79,14,1,11,0.12,0.00,194,3
01.08.2023 06:00,26.1,87,9,309,8,0.08,0.00,207,3
01.08.2023 05:00,26.1,18,6,339,5,0.16,0.00,188,3
01.08.2023 04:00,26.2,76,2,280,9,0.04,0.00,127,2
01.08.2023 03:00,26.2,267,7,248,9,0.04,0.00,224,3
01.08.2023 02:00,26.2,249,4,239,9,0.04,0.00,238,3
01.08.2023 01:00,26.3,260,6,180,14,0.04,0.00,193,3
01.08.2023 00:00,26.2,259,5,174,12,0.08,0.00,205,3
31.07.2023 23:00,26.2,276,7,160,8,0.08,0.00,238,3
31.07.2023 22:00,26.2,270,1,170,2,0.08,0.00,52,3
31.07.2023 21:00,26.2,238,6,145,8,0.08,0.00,205,3
31.07.2023 20:00,26.3,191,7,86,6,0.12,0.00,186,3
