Datum,Vodostaj [cm],Temperatura vode [Â°C]
09.08.2023 22:30,208,25.7
09.08.2023 22:00,213,25.7
09.08.2023 21:30,217,25.8
09.08.2023 21:00,222,25.9
09.08.2023 20:30,228,25.9
09.08.2023 20:00,232,25.9
09.08.2023 19:30,237,25.9
09.08.2023 19:00,242,25.9
09.08.2023 18:30,245,25.9
09.08.2023 18:00,248,25.8
09.08.2023 17:30,251,25.7
09.08.2023 17:00,254,25.7
09.08.2023 16:30,254,25.7
09.08.2023 16:00,256,25.6
09.08.2023 15:30,254,25.6
09.08.2023 15:00,253,25.5
09.08.2023 14:30,252,25.5
09.08.2023 14:00,251,25.4
09.08.2023 13:30,251,25.3
09.08.2023 13:00,248,25.3
09.08.2023 12:30,247,25.3
09.08.2023 12:00,245,25.2
09.08.2023 11:30,244,25.2
09.08.2023 11:00,242,25.2
09.08.2023 10:30,240,25.1
09.08.2023 10:00,240,25.1
09.08.2023 09:30,241,25.2
09.08.2023 09:00,239,25.2
09.08.2023 08:30,238,25.2
09.08.2023 08:00,235,25.2
09.08.2023 07:30,234,25.2
09.08.2023 07:00,232,25.2
09.08.2023 06:30,230,25.2
09.08.2023 06:00,228,25.2
09.08.2023 05:30,228,25.3
09.08.2023 05:00,227,25.3
09.08.2023 04:30,225,25.4
09.08.2023 04:00,223,25.4
09.08.2023 03:30,221,25.4
09.08.2023 03:00,220,25.4
09.08.2023 02:30,217,25.5
09.08.2023 02:00,215,25.5
09.08.2023 01:30,212,25.5
09.08.2023 01:00,210,25.6
09.08.2023 00:30,208,25.6
09.08.2023 00:00,207,25.6
08.08.2023 23:30,206,25.6
08.08.2023 23:00,207,25.6
08.08.2023 22:30,207,25.6
08.08.2023 22:00,209,25.6
08.08.2023 21:30,212,25.6
08.08.2023 21:00,214,25.6
08.08.2023 20:30,217,25.6
08.08.2023 20:00,222,25.6
08.08.2023 19:30,230,25.6
08.08.2023 19:00,236,25.6
08.08.2023 18:30,242,25.6
08.08.2023 18:00,246,25.6
08.08.2023 17:30,251,25.5
08.08.2023 17:00,256,25.5
08.08.2023 16:30,259,25.5
08.08.2023 16:00,262,25.5
08.08.2023 15:30,264,25.5
08.08.2023 15:00,267,25.5
08.08.2023 14:30,268,25.4
08.08.2023 14:00,268,25.3
08.08.2023 13:30,266,25.3
08.08.2023 13:00,265,25.3
08.08.2023 12:30,262,25.2
08.08.2023 12:00,258,25.1
08.08.2023 11:30,251,25.1
08.08.2023 11:00,247,25.1
08.08.2023 10:30,239,25.1
08.08.2023 10:00,234,25.1
08.08.2023 09:30,227,25.1
08.08.2023 09:00,225,25.1
08.08.2023 08:30,220,25.1
08.08.2023 08:00,221,25.1
08.08.2023 07:30,219,25.1
08.08.2023 07:00,217,25.1
08.08.2023 06:30,216,25.1
08.08.2023 06:00,216,25.1
08.08.2023 05:30,218,25.1
08.08.2023 05:00,220,25.1
08.08.2023 04:30,223,25.1
08.08.2023 04:00,224,25.1
08.08.2023 03:30,225,25.1
08.08.2023 03:00,227,25.2
08.08.2023 02:30,230,25.2
08.08.2023 02:00,230,25.2
08.08.2023 01:30,230,25.2
08.08.2023 01:00,226,25.2
08.08.2023 00:30,224,25.2
08.08.2023 00:00,220,25.2
07.08.2023 23:30,213,25.3
07.08.2023 23:00,213,25.3
07.08.2023 22:30,213,25.4
07.08.2023 22:00,211,25.5
07.08.2023 21:30,207,25.5
07.08.2023 21:00,208,25.5
07.08.2023 20:30,212,25.5
07.08.2023 20:00,214,25.4
07.08.2023 19:30,218,25.3
07.08.2023 19:00,219,25.4
07.08.2023 18:30,224,25.4
07.08.2023 18:00,231,25.4
07.08.2023 17:30,241,25.3
07.08.2023 17:00,250,25.3
07.08.2023 16:30,261,25.2
07.08.2023 16:00,268,25.2
07.08.2023 15:30,278,25.2
07.08.2023 15:00,282,25.2
07.08.2023 14:30,286,25.2
07.08.2023 14:00,285,25.2
07.08.2023 13:30,282,25.1
07.08.2023 13:00,278,25.1
07.08.2023 12:30,272,25.0
07.08.2023 12:00,264,24.9
07.08.2023 11:30,256,24.8
07.08.2023 11:00,248,24.9
07.08.2023 10:30,241,24.9
07.08.2023 10:00,237,25.0
07.08.2023 09:30,230,25.0
07.08.2023 09:00,223,25.0
07.08.2023 08:30,218,25.0
07.08.2023 08:00,212,25.0
07.08.2023 07:30,206,25.0
07.08.2023 07:00,201,25.0
07.08.2023 06:30,200,25.0
07.08.2023 06:00,204,24.9
07.08.2023 05:30,211,24.8
